N.HRSH     15019.11B      15021.68C
N.YSHH     15019.70B      15022.48C
N.GEIH     15020.03B      15023.04C
N.HISH     15020.67B      15024.41C
N.TGUH     15020.78B      15024.58C
N.HSMH     15021.39B      15025.58C
N.IWAH     15021.36B      15025.57C
N.HHIH     15021.41B      15025.73C
N.KURH     15022.44B      15027.43C
N.SKIH     15022.75B      15028.01C
N.DWAH     15022.74B      15028.06C
N.KNGH     15022.94B      15027.70C
N.KSAH     15022.88B      15028.34C
N.MITH     15023.29B      15028.96C
N.OKMH     15023.57B      15029.18C
N.OOCH     15024.55B      15031.16C
N.MIHH     15024.62B      15031.44C
N.MICH     15025.91B      15033.50C
N.MKWH     15026.57B      15034.44C
N.YSDH     15026.82B      15035.02C
N.MYKH     15026.77B      15035.04C
N.TOHH     15028.01B      15037.18C
N.TMGH     15028.15B      15037.55C
N.NMKH     15028.71B      15038.65C
N.HKTH     15031.88B      15044.06C
N.TBEH     15031.98B      15043.97C
N.MTOH     15033.94B      15047.41C
N.TKBH     15035.30B      15050.15C

N.MITH    151313.40B     151315.21C
N.HIKH    151313.54B     151315.41C
N.TGUH    151314.13B     151316.48C
N.SKIH    151315.92B     151319.49C
N.GEIH    151316.24B     151319.64C
N.KNGH    151316.32B     151320.15C
N.HRSH    151316.51B     151320.53C
N.MICH    151316.55B     151320.56C
N.HISH    151317.32B     151321.39C
N.TMGH    151317.48B     151450.48*
N.IWAH    151317.96B     151322.97C
N.MTMH    151318.55B     151324.12C
N.GOTH    151318.70B     151324.33C
N.MKWH    151319.25B     151324.91C
N.OKMH    151320.30B     151326.86C
N.HSMH    151320.41B     151327.29C
N.TKJH    151320.89B     151328.13C
N.KURH    151321.52B     151329.07C
N.OOCH    151321.79B     151329.38C
N.SYTH    151322.21B     151330.09C
N.HHIH    151322.00B     151329.96C
N.TOHH    151324.63B     151450.48*
N.KNSH    151325.67B     151450.48*
N.MIHH    151325.55B     151336.30C

N.TGUH    231742.16B     231744.05C
N.HRSH    231743.00B     231745.49C
N.HISH    231743.42B     231746.18C
N.SKIH    231743.64B     231746.49C
N.HIKH    231744.20B     231747.51C
N.GEIH    231744.33B     231747.80C
N.MITH    231744.60B     231748.21C
N.KNGH    231746.22B     231750.96C
N.YSHH    231746.29B     231750.99C
N.MICH    231746.32B     231751.31C
N.OKMH    231746.47B     231751.13C
N.IWAH    231746.41B     231751.25C
N.IKNH    231746.89B     231751.85C
N.KURH    231747.14B     231752.72C
N.MKWH    231747.59B     231753.07C
N.HHIH    231747.72B     231753.64C
N.HSMH    231747.86B     231753.88C
N.TMGH    231748.94B     231919.15*
N.MTMH    231749.49B     231756.58C
N.SYTH    231749.85B     231757.24C
N.KSAH    231750.34B     231758.07C
N.OOCH    231750.25B     231758.08C
N.TKJH    231750.50B     231758.41C
N.TOHH    231751.03B     231759.13C
N.MIHH    231751.25B     231759.81C
N.TKUH    231752.08B     2318 1.24C
N.KNSH    231753.05B     2318 2.66C
N.MTOH    231754.53B     2318 5.27C
N.NMKH    231755.69B     2318 7.92C

N.TGUH     746 9.23B      74610.67C
N.SKIH     74610.32B      74612.26C
N.HIKH     74610.51B      74612.53C
N.MITH     74611.64B      74614.49C
N.HISH     74611.85B      74614.74C
N.HRSH     74611.91B      74614.94C
N.MICH     74612.77B      74616.39C
N.GEIH     74613.03B      74616.84C
N.IKNH     74614.02B      74618.35C
N.MKWH     74614.37B      74619.03C
N.KNGH     74614.58B      74619.55C
N.OKMH     74614.65B      74619.44C
N.IWAH     74615.38B      74620.85C
N.TMGH     74615.69B      74747.29*
N.MTMH     74616.08B      74622.08C
N.KURH     74616.21B      74622.24C
N.SYTH     74617.10B      74623.92C
N.TKJH     74617.20B      74624.13C
N.HHIH     74617.26B      74624.00C
N.HSMH     74617.28B      74624.31C
N.TOHH     74619.24B      74627.30C
N.TKUH     74619.16B      74627.47C
N.OOCH     74619.51B      74628.03C
N.KSAH     74620.03B      74628.80C
N.HGIH     74620.05B      74628.94C
N.KNSH     74620.69B      74629.94C
N.MIHH     74620.91B      74630.18C
N.MTOH     74621.23B      74630.99C
N.MYKH     74622.34B      74632.88C
N.TBEH     74625.29B      74637.69C
N.NMKH     74625.47B      74638.42C

N.BSEH     15154.33B      15156.20C
N.TTAH     15155.35B      15157.85C
N.KNBH     15155.56B      15158.45C
N.JNSH     15156.36B      15159.70C
N.MABH     15156.36B      15159.82C
N.HKBH     15156.57B      152 0.14C
N.OKYH     15157.42B      152 1.57C
N.SGOH     15157.95B      152 2.43C
N.MIGH     15157.94B      152 2.59C
N.TKBH     15158.73B      152 3.77C
N.NMKH     15158.70B      152 3.88C
N.KSAH     15159.20B      152 4.64C
N.DWAH     15159.98B      152 5.97C
N.YBRH     152 0.78B      152 7.33C
N.MIHH     152 0.96B      152 7.66C
N.SETH     152 1.43B      152 8.43C
N.HKTH     152 2.25B      152 9.83C
N.MNOH     152 2.60B      15210.55C
N.HHIH     152 2.76B      15210.62C
N.MYKH     152 3.24B      15211.61C
N.YSDH     152 3.30B      15211.58C
N.SYOH     152 3.39B      15212.20C
N.HSMH     152 3.92B      15212.69C
N.AYKH     152 3.91B      15212.97C
N.UUMH     152 5.92B      15216.40C
N.OOCH     152 6.76B      15217.47C
N.MHSH     152 7.34B      15331.27*

N.HRSH    184853.01B     184855.05C
N.TGUH    184853.68B     184856.28C
N.HISH    184853.99B     184856.73C
N.GEIH    184854.54B     184857.75C
N.SKIH    184855.39B     184859.17C
N.YSHH    184855.54B     184859.48C
N.HIKH    184856.24B     1849 0.67C
N.MITH    184856.37B     1849 0.95C
N.IWAH    184856.50B     1849 1.06C
N.KURH    184856.91B     1849 1.93C
N.OKMH    184857.06B     1849 2.01C
N.HHIH    184857.01B     1849 1.99C
N.KNGH    184857.13B     1849 2.38C
N.HSMH    184857.26B     1849 2.53C
N.MICH    184858.45B     1849 4.62C
N.MKWH    184859.33B     1849 5.74C
N.KSAH    184859.38B     1849 6.08C
N.OOCH    1849 0.14B     1849 7.38C
N.MIHH    1849 0.44B     1849 8.00C
N.TMGH    1849 0.96B     185029.70*
N.SYTH    1849 1.18B     1849 9.17C
N.MTMH    1849 1.58B     1849 9.93C
N.TOHH    1849 1.63B     184910.04C
N.MYKH    1849 2.17B     184911.09C
N.TKJH    1849 2.40B     184911.63C
