obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TBRH,3.86,B,P,6.33,C,S
N.MYKH,3.81,B,P,6.18,C,S
N.SJOH,4.72,B,P,99.99,*,S
N.MIHH,6.82,B,P,11.35,C,S
N.TBEH,7.88,B,P,99.99,*,S
N.IKKH,8.13,B,P,13.28,C,S
N.NMKH,8.20,B,P,99.99,*,S
N.KURH,8.45,B,P,14.24,C,S
N.GHKH,8.44,B,P,13.81,C,S
N.KRHH,9.03,B,P,15.34,C,S
N.HHIH,9.20,B,P,15.38,C,S
N.SINH,9.89,B,P,16.64,C,S
N.MTYH,10.20,B,P,16.96,C,S
N.TOHH,10.70,B,P,17.86,C,S
N.MNOH,10.72,B,P,18.14,C,S
N.OKMH,10.86,B,P,18.06,C,S
N.KNBH,11.14,B,P,19.01,C,S
N.OOZH,11.72,B,P,20.31,C,S
N.KSAH,12.58,B,P,21.12,C,S
N.HISH,12.65,B,P,21.31,C,S
N.SSKH,13.88,B,P,22.45,C,S
N.SKIH,15.27,B,P,26.14,C,S
N.HSMH,16.63,B,P,28.14,C,S
N.MKWH,16.71,B,P,28.09,C,S
N.MISH,19.50,B,P,99.99,*,S
N.TKBH,19.00,B,P,33.02,C,S
